Feature,Weights
income,"[-0.4221248475341674, -0.13134248424999673, 0.07559217931833156, 0.4778751524658326]"
education,"[-0.5171109349355317, 0.05472012017489791, 0.3828890650644683, 0.07950174969616552]"
employment,"[-0.5032781147600393, -0.24420811805492734, 0.35076434757500574, 0.39672188523996077]"
sleep,"[-0.523952892454336, -0.03806955399363461, 0.18597533890230655, 0.37604710754566406]"
appetite,"[-0.4968984758908215, -0.16007855808547733, 0.25387550986712026, 0.40310152410917854]"
energy,"[-0.45135251094713835, -0.19140740745648024, 0.19411242935075682, 0.44864748905286167]"
mood,"[-0.5419705652160701, -0.019691151408134017, 0.20363228184027418, 0.3580294347839299]"
interest,"[-0.46500110079758855, -0.15344296334435414, 0.18344516493953117, 0.43499889920241147]"
anxiety,"[-0.5224455790067466, -0.12948241139226246, 0.2743735694057556, 0.3775544209932535]"
relationships,"[-0.49545644316375803, -0.1228059202786443, 0.21371880660616038, 0.404543556836242]"
support,"[-0.5563839540876316, -0.09391813140882876, 0.30668603958409196, 0.34361604591236844]"
isolation,"[-0.5551102408292772, -0.07442463275979838, 0.28464511441835266, 0.3448897591707229]"
